Z1[L],C1[M L^-3],Z2[L],C2[M L^-3],Z3[L],C3[M L^-3],Z4[L],C4[M L^-3],Z5[L],C5[M L^-3]
84.728,15863.063,68.452,4788.642,62.863,2788.188,85.987,4381.32,90.553,3426.014
84.918,14876.042,68.575,4821.62,62.868,2786.704,86.213,4505.154,90.777,3482.23
85.252,14392.611,68.718,4851.278,62.907,2785.937,86.416,4574.059,90.978,3527.198
85.309,14141.666,68.823,4866.959,63.011,2784.453,86.523,4617.545,91.178,3605.817
85.336,14155.546,68.897,4876.733,63.136,2781.83,86.78,4701.638,91.414,3668.338
85.405,13974.07,69.009,4891.251,63.169,2779.957,87.056,4815.494,91.618,3731.22
85.596,13487.345,69.124,4901.479,63.176,2780.254,87.244,4828.007,91.827,3841.383
85.794,13276.034,69.235,4908.643,63.176,2780.352,87.403,4843.514,92.037,3922.021
86.06,12752.556,69.341,4921.737,63.245,2780.438,87.523,4888.663,92.268,4026.555
86.362,11729.697,69.429,4920.112,63.338,2781.274,87.704,4893.398,92.518,4313.913
86.699,11305.474,69.494,4933.558,63.446,2787.024,87.988,4916.697,92.715,4608.314
86.774,11043.542,69.603,4940.69,63.478,2789.352,88.11,4936.384,92.891,4786.844
86.989,10583.825,69.677,4946.005,63.634,2799.406,88.282,4953.503,93.108,4877.798
87.247,9655.601,69.791,4956.295,63.684,2798.251,88.396,4962.851,93.352,4947.638
87.446,9786.96,69.89,4968.408,63.693,2803.774,88.594,4963.191,93.536,4951.151
